"id","name","province","dirname","boundsSW","boundsNE","displayName","zoning","t0_open","t1_open","t2_open","t0_edge","t1_edge","t2_edge","hasIndex","t0_urban_urban","t0_suburban_urban","t0_rural_urban","t0_urban_footprint","t0_suburban_footprint","t0_rural_footprint","t1_urban_urban","t1_suburban_urban","t1_rural_urban","t1_urban_footprint","t1_suburban_footprint","t1_rural_footprint","t2_urban_urban","t2_suburban_urban","t2_rural_urban","t2_urban_footprint","t2_suburban_footprint","t2_rural_footprint","t0_t1_leapfrog","t0_t1_extension","t0_t1_infill","t1_t2_leapfrog","t1_t2_extension","t1_t2_infill"
"18","bahia_blanca","buenos_aires","buenos_aires/bahia_blanca/bahia","-38.780855352326654, -62.34421607219569","-38.62831764674542, -62.1481747094121","Bahía Blanca,Bahía Blanca,Buenos Aires
","False","","","","","","","False","1923.8","1076.8","182.3","1923.8","1076.8","182.3","3236.1","1325.2","151.0","3236.1","1325.2","151.0","4382.9","1710.1","93.4","4382.9","1710.1","93.4","188.6","649.6","691.2","96.2","1168.7","551.4"
"19","santafe","santa_fe","santa_fe/santafe","-31.686177756451887, -60.75422117811955","-31.55616147398868, -60.656781892519184","Santa Fe, Santa Fe
","True","","","","","","","False","2798.4","629.8","19.4","2798.4","629.8","19.4","3823.3","538.1","18.6","3823.3","538.1","18.6","4516.8","574","6.7","4516.8","574","6.7","49.3","444.2","438.9","34.4","410.5","272.5"
"20","tafi_viejo","tucuman","tucuman/tafi_viejo","-26.75243924927344, -65.27647189087556","-26.723250909198867, -65.2357913152474","Tafí Viejo,Tucumán
","False","0.584998147557","0.312643478911","0.568369557781","0.806320907618","0.397584765444","0.982707718262","True","59.9","135.6","4.9","59.9","135.6","4.9","296.5","50.4","2.9","296.5","50.4","2.9","381.9","40.4","0","381.9","40.4","0","0.6","92.9","55.7","0.8","34.6","43.3"
"21","fontana","chaco_-_resistencia","chaco_-_resistencia/fontana","-27.456822931994665, -59.08976201555767","-27.333576837378978, -58.969075222881564","Fontana,Chaco
","True","","","","","","","False","0.0","192.3","65.3","0.0","192.3","65.3","25.4","276.6","70.3","25.4","276.6","70.3","204.3","359.7","62.5","204.3","359.7","62.5","30.3","74.3","10.1","13.2","223.2","17.7"
"22","la_matanza","buenos_aires","buenos_aires/la_matanza","-34.9140591678165, -58.77765838959481","-34.63896619695355, -58.459292455208235","La Matanza,Buenos Aires
","True","0.234094023058","0.210288742694","0.161289004974","0.257197742257","0.231129027916","0.155824311753","True","8755.9","1427.8","91.1","8755.9","1427.8","91.1","10598.3","1403.6","67.2","10598.3","1403.6","67.2","14262.9","1204.2","161.2","14262.9","1204.2","161.2","80.3","1084.8","629.2","342.4","1790.1","1444.4"
"23","san_luis","san_luis","san_luis/san_luis","-33.36233967400807, -66.41581981292656","-33.225122727139784, -66.27158347076525","San Luis, San Luis
","True","0.501846628495","0.407905606772","0.314881183383","0.633046073853","0.429026387625","0.27738795614","True","","","","","","","","","","","","","","","","","","","","","","","",""
"24","rosario","santa_fe","santa_fe/rosario/rosario","-33.04185471399524, -60.7940858636237","-32.86767801068788, -60.61599559879727","Rosario, Rosario,Santa Fe
","True","0.188641636605","0.147528827622","0.136836955856","0.235121388975","0.139744852493","0.132952485205","True","8044.0","739.8","95.6","8044.0","739.8","95.6","9497.3","825.7","67.8","9497.3","825.7","67.8","10870.3","970.6","31.4","10870.3","970.6","31.4","63.9","691.6","755.9","112.1","869.8","586.1"
"25","rosario","santa_fe","santa_fe/rosario/fraybeltran","-32.805374273275525, -60.76312505335122","-32.7704584539021, -60.70833012307604","Fray Beltran, Rosario,Santa Fe
","True","0.549867609957","0.431968656814","0.338024157784","0.576264436479","0.424665025978","0.328019131128","True","112.8","71.0","20.1","112.8","71.0","20.1","207.4","78.0","11.7","207.4","78.0","11.7","313.1","90.7","3.7","313.1","90.7","3.7","1.4","65.3","26.4","9.1","72.7","39.2"
"26","sjoserincon","santa_fe","santa_fe/sjoserincon","-31.652827223933635, -60.64384148817342","-31.584068272030237, -60.55489502225322","San José Del Rincón, Santa Fe
","True","0.895404435129","0.782437618068","0.857569828771","0.967374810319","0.831732616212","0.995230705174","True","","60.3","46.8","","60.3","46.8","","195.9","15.5","","195.9","15.5","33","379.6","43.5","33","379.6","43.5","8.4","95.4","0.5","93.5","142.1","9"
"27","almirante_brown","buenos_aires","buenos_aires/almirante_brown","-34.912485366532884, -58.45132676974038","-34.75805600274219, -58.290438758233506","Almirante Brown,Buenos Aires
","True","0.326431554148","0.272732740874","0.162215553745","0.413813015101","0.334649966964","0.177577768288","True","3751.0","864.1","26.9","3751.0","864.1","26.9","4756.5","894.4","4.1","4756.5","894.4","4.1","7028.6","382.6","7.1","7028.6","382.6","7.1","14.8","554.0","444.3","53.1","772.8","948"
"28","escobar","buenos_aires","buenos_aires/escobar","-34.46010112294701, -58.90727614688004","-34.23243801826132, -58.65893318349392","Escobar,Buenos Aires
","True","0.648430735044","0.534284441628","0.454087706993","0.697655517349","0.559100634361","0.455842027054","True","286.6","887.1","125.5","286.6","887.1","125.5","949.1","1129.5","85.3","949.1","1129.5","85.3","3013.3","2045.7","243.2","3013.3","2045.7","243.2","69.6","700.6","94.5","915","1893.6","340.7"
"29","recreo","santa_fe","santa_fe/recreo","-31.56680084757046, -60.77750355900032","-31.47258323155568, -60.682860641404226","Recreo,Santa Fe
","True","","","","","","","False","","78.6","42.4","","78.6","42.4","39.1","143.6","43.3","39.1","143.6","43.3","111.7","506.2","79.5","111.7","506.2","79.5","26.1","72.8","6.1","253.3","206.1","11.9"
"30","rawson","san_juan","san_juan/rawson","-31.83700209123044, -68.60806052856799","-31.53395833707293, -68.37756524737937","Rawson,San Juan
","True","0.422382192283","0.305211463876","0.275331158837","0.629112004747","0.44449339207","0.29819986006","True","918.6","268.7","44.8","918.6","268.7","44.8","1401.9","230.4","27.1","1401.9","230.4","27.1","1915.5","459.4","178.9","1915.5","459.4","178.9","6.4","210.6","210.3","297.4","339.4","345.9"
"31","san_juan","san_juan","san_juan/san_juan","-31.55094640371264, -68.56902463776484","-31.49592487420644, -68.49995520158447","San Juan,San Juan
","False","0.342353400019","0.228825343691","0.100352777095","0.537499403256","0.370762876958","0.153440702782","True","1483.7","217.8","0.0","1483.7","217.8","0.0","2018.0","66.8","","2018.0","66.8","","2490.5","5.9","","2490.5","5.9","","1.2","81.6","300.5","2.9","21.9","471.8"
"32","rada_tilly","chubut_-_rawson","chubut_-_rawson/rada_tilly","-45.95754096896318, -67.60818849438061","-45.90223979620004, -67.53461751812691","Rada Tilly,Chubut
","True","0.707797233696","0.546568035703","0.48126926003","0.719242902208","0.536639526277","0.381993695823","True","","95.0","8.0","","95.0","8.0","101.3","101.8","16.4","101.3","101.8","16.4","234.8","154.7","22.7","234.8","154.7","22.7","18.3","85.5","12.7","33.4","137.2","22.3"
"33","merlo","buenos_aires","buenos_aires/merlo","-34.78037289522937, -58.867904864446395","-34.639580448475634, -58.6337323046345","Merlo,Buenos Aires
","True","0.371669860193","0.320090277237","0.239919021456","0.471074189985","0.37527317589","0.242972637565","True","2413.7","1030.0","86.0","2413.7","1030.0","86.0","3545.6","1007.5","55.6","3545.6","1007.5","55.6","5721.2","886.7","133.5","5721.2","886.7","133.5","56.5","656.6","365.9","239.5","1115.5","790.2"
"34","rosario","santa_fe","santa_fe/rosario/alvear","-33.07576599158411, -60.63908832722462","-33.03952152226225, -60.571710407664035","Alvear,Rosario, Santa Fe
","False","0.849691348406","0.771405919974","0.873857822158","0.893687707641","0.75311942959","0.99687681965","True","","31.4","17.5","","31.4","17.5","0.0","73.6","17.5","0.0","73.6","17.5","30.7","249.2","7.8","30.7","249.2","7.8","9.7","31.0","1.5","68.5","125.2","7.9"
"35","bahia_blanca","buenos_aires","buenos_aires/bahia_blanca/inge","-38.79055648567652, -62.29697573620181","-38.76008128161442, -62.22937474317637","Ingeniero White,Bahía Blanca,Buenos Aires
","False","","","","","","","False","234.8","194.4","0.7","234.8","194.4","0.7","435.4","124.0","0.0","435.4","124.0","0.0","573.9","67","0","573.9","67","0","5.6","64.7","59.2","","31.8","62.2"
"36","san_vicente","buenos_aires","buenos_aires/san_vicente","-35.245091838471296, -58.60663707207827","-34.92589796933876, -58.23783463568697","San Vicente,Buenos Aires
","True","0.731431271697","0.675254163179","0.605079765042","0.7755859375","0.72003303445","0.637196820092","True","81.2","193.5","141.2","81.2","193.5","141.2","190.5","302.7","195.3","190.5","302.7","195.3","611.1","627.9","365.2","611.1","627.9","365.2","43.6","213.5","15.4","223.8","638.4","64.1"
"37","sumalao","catamarca","catamarca/sumalao","-28.48146475477361, -65.74983249890668","-28.456915261907266, -65.72295465656988","Sumalao,Catamarca
","False","0.859785020937","0.859785020937","0.436284340829","0.885321100917","0.885321100917","0.372629843364","True","","30.1","5.3","","30.1","5.3","","30.1","5.3","","30.1","5.3","127.7","69","0.3","127.7","69","0.3","","","","3.9","133.5","2.6"
"38","moreno","buenos_aires","buenos_aires/moreno","-34.69028322751506, -58.89449890553373","-34.51388744359729, -58.71106016573187","Moreno,Buenos Aires
","True","0.573318100064","0.484404161501","0.364546967673","0.665645926574","0.537638105717","0.393878462913","True","902.6","1337.1","174.1","902.6","1337.1","174.1","1953.5","1436.5","153.5","1953.5","1436.5","153.5","4904.6","1927.1","76","4904.6","1927.1","76","92.3","808.0","229.5","405.2","2387","589.4"
"39","banda_del_rio_sali","tucuman","tucuman/banda_del_rio_sali","-26.882275115645875, -65.19847055483105","-26.836315764984064, -65.12590234438977","Banda del Río Sali,Tucumán
","False","","","","","","","False","472.5","98.0","31.4","472.5","98.0","31.4","546.8","178.4","21.0","546.8","178.4","21.0","722.7","257.4","10.1","722.7","257.4","10.1","25.1","98.9","20.3","14.1","197.9","43.8"
"40","capital","la_rioja","la_rioja/capital","-29.506387013376486, -66.97717953290594","-29.321957514092258, -66.73348168982574","La Rioja,La Rioja
","True","0.346294191657","0.285301567628","0.245970554948","0.344384217824","0.247320853423","0.21120741949","True","1879.9","577.0","120.5","1879.9","577.0","120.5","3243.6","824.8","92.8","3243.6","824.8","92.8","4944.6","932.4","148.6","4944.6","932.4","148.6","77.0","1196.3","310.4","170.2","1261.8","432.4"
"41","atoc","salta","salta/atoc","-24.85198620034522, -65.50343136445417","-24.803269107441324, -65.46299807066735","Aeropuerto,Salta
","False","0.767952010187","0.748062046202","0.873543640708","0.873997709049","0.79143258427","0.995368162932","True","","67.0","3.9","","67.0","3.9","","89.7","26.0","","89.7","26.0","39.9","175.9","1.7","39.9","175.9","1.7","23.6","18.9","2.3","32.1","75.5","3.8"
"42","florencio_varela","buenos_aires","buenos_aires/florencio_varela","-35.01117802383384, -58.33812952095123","-34.77203998185329, -58.17853937471373","Florencio Varela,Buenos Aires
","True","0.430416564148","0.340735052219","0.292840706488","0.522173154711","0.3799050553","0.277842569795","True","1390.1","753.0","45.7","1390.1","753.0","45.7","2444.1","753.1","19.5","2444.1","753.1","19.5","4277","1251.4","113","4277","1251.4","113","48.8","639.6","339.4","848.2","943.9","636.9"
"43","cent","neuquen","neuquen/cent","-38.86568397843069, -68.18969729732484","-38.77659421098718, -68.08899746871316","Centenario,Neuquen
","False","0.494003210171","0.395512098004","0.941642198461","0.562107298212","0.42061079751","0.997824593542","True","198.0","164.6","9.8","198.0","164.6","9.8","424.1","180.2","17.6","424.1","180.2","17.6","555.2","139.6","29.9","555.2","139.6","29.9","33.5","174.2","41.8","17.2","32.4","55.7"
"44","pocito","san_juan","san_juan/pocito","-31.892537756646473, -68.70155353118184","-31.561722513551693, -68.43143543602004","Pocito,San Juan
","False","0.712797048065","0.614161962081","0.631147321479","0.797709355942","0.641745894555","0.603888952186","True","94.2","314.9","136.9","94.2","314.9","136.9","272.9","352.8","126.1","272.9","352.8","126.1","721.4","831","586.4","721.4","831","586.4","10.0","158.6","37.2","745.4","613.1","140.5"
"45","san_fernando_del_valle_de_catamarca","catamarca","catamarca/san_fernando_del_valle_de_catamarca","-28.50695159670338, -65.82761704166195","-28.420749891878216, -65.72610530142083","San Fernando Del Valle De Catamarca,Catamarca
","True","0.319618724618","0.319618724618","0.141564607209","0.347657122437","0.347657122437","0.0952322946866","True","1391.5","414.6","12.3","1391.5","414.6","12.3","1391.5","414.6","12.3","1391.5","414.6","12.3","3144.2","189.7","0.2","3144.2","189.7","0.2","","","","17.2","519.8","355.8"
"46","barrio_san_felipe","tucuman","tucuman/barrio_san_felipe","-26.887472104043134, -65.27630456959486","-26.852477524211256, -65.22886356701007","Barrio San Felipe,Tucumán
","False","","","","","","","False","0.0","18.0","2.7","0.0","18.0","2.7","0.0","34.4","5.5","0.0","34.4","5.5","65.5","61.9","12.8","65.5","61.9","12.8","10.3","8.0","1.1","21.8","77.7","2.8"
"47","lacalera","cordoba","cordoba/lacalera","-31.373919120575128, -64.35512294385867","-31.343732336242038, -64.31574483485448","La Calera,Córdoba
","False","","","","","","","False","74.2","65.6","8.0","74.2","65.6","8.0","117.5","69.6","3.8","117.5","69.6","3.8","158.1","83.5","1.2","158.1","83.5","1.2","1.9","27.2","13.9","5.6","37.2","18.2"
"48","bahia_blanca","buenos_aires","buenos_aires/bahia_blanca/grun","-38.76421940134022, -62.19554232521603","-38.74036276899861, -62.16301723873924","Grunbein,Bahía Blanca,Buenos Aires
","False","","","","","","","False","","24.9","2.4","","24.9","2.4","","51.7","0.0","","51.7","0.0","0.5","82.4","1.1","0.5","82.4","1.1","1.2","22.3","0.8","2.4","31.8","0.7"
"49","rawsontrelew","chubut_-_rawson","chubut_-_rawson/rawsontrelew","-43.28299854496128, -65.36358500171558","-43.224892497058896, -65.26764148674499","Trelew,Chubut
","True","0.369868404746","0.262867904608","0.180800566687","0.442014032191","0.285522860053","0.174848556368","True","858.5","296.7","25.6","858.5","296.7","25.6","1278.3","218.7","18.4","1278.3","218.7","18.4","1879.4","182.8","2.7","1879.4","182.8","2.7","3.3","166.5","164.7","8.4","354.4","186.7"
"50","marcos_paz","buenos_aires","buenos_aires/marcos_paz","-34.96069799811834, -59.046770887459665","-34.689975344524704, -58.6882325694174","Marcos Paz,Buenos Aires
","True","0.72060205133","0.67198336018","0.66224959147","0.783823529412","0.734395109395","0.664561119814","True","62.3","114.9","99.0","62.3","114.9","99.0","135.7","266.4","102.7","135.7","266.4","102.7","474.1","668.1","465.2","474.1","668.1","465.2","35.0","184.9","8.9","576.8","463.3","62.6"
"51","hurlingham","buenos_aires","buenos_aires/hurlingham","-34.632527084948926, -58.69857050406652","-34.56737987348706, -58.61367946222762","Hurlingham,Buenos Aires
","True","0.269937469335","0.244553092131","0.186164692115","0.290391539154","0.255246230096","0.160182964739","True","1260.6","173.0","10.2","1260.6","173.0","10.2","1376.4","155.0","9.2","1376.4","155.0","9.2","1670.6","146.5","11.9","1670.6","146.5","11.9","0.3","32.2","64.1","20.9","110.3","160.9"
"52","lasc","salta","salta/lasc","-24.772991876843566, -65.4894473500402","-24.744808673909024, -65.43564769207373","Las Colinas,Salta
","False","0.953261553143","0.954785256719","0.838535658145","","","0.994665955461","True","","0.0","2.8","","0.0","2.8","0.0","0.1","13.9","0.0","0.1","13.9","0","143.8","3","0","143.8","3","10.9","0.2","","19.3","115.1",""
"53","la_banda","stgo_del_estero","stgo_del_estero/la_banda","-27.795206892210413, -64.2898487869602","-27.68912384901038, -64.18542723778435","La Banda,Santiago Del Estero
","True","0.531652615437","0.423637041828","0.328593549195","0.622628125554","0.421448518152","0.283328703275","True","391.8","459.7","64.6","391.8","459.7","64.6","1140.6","605.5","57.3","1140.6","605.5","57.3","1939.7","745","30.6","1939.7","745","30.6","125.7","643.1","118.5","73.7","582.1","256.3"
"54","malvinas_arg","cordoba","cordoba/malvinas_arg","-31.416706340752835, -64.07241156464765","-31.305264681688517, -64.02233341062212","Malvinas Argentinas,Córdoba
","False","","","","","","","False","","54.8","21.0","","54.8","21.0","16.7","169.1","22.3","16.7","169.1","22.3","137.1","165.8","19.3","137.1","165.8","19.3","43.3","88.2","0.8","2.4","115.6","23.1"
"55","villaadelina","santa_fe","santa_fe/villaadelina","-31.704519930662766, -60.81872342280829","-31.678096155159164, -60.74780307569422","Villa Adelina, Santa Fe
","False","","","","","","","False","","18.2","25.4","","18.2","25.4","0.0","66.8","21.3","0.0","66.8","21.3","34.6","162.9","8.2","34.6","162.9","8.2","10.0","34.0","0.5","8.8","106.6","2.3"
"56","parana_a","entre_rios_-_parana","entre_rios_-_parana/parana_a","-31.810480305415904, -60.578791834133234","-31.69688559027338, -60.4221213861263","Paraná,Entre Ríos
","True","0.433387120285","0.311979162863","0.833866598803","0.50567270394","0.302271297217","0.993144410329","True","1750.9","908.1","126.0","1750.9","908.1","126.0","2895.8","1013.8","92.2","2895.8","1013.8","92.2","3507.2","1185.1","73.3","3507.2","1185.1","73.3","58.1","701.4","457.5","98.9","432.3","232.6"
"57","rosario","santa_fe","santa_fe/rosario/capbermudez","-32.83946977799455, -60.744003533350885","-32.796241832887354, -60.69884429080084","Capitán Bermúdez,Rosario,Santa Fe
","False","0.404829224042","0.34561438784","0.308983904158","0.415245202559","0.276916127089","0.222014693064","True","324.5","111.8","20.9","324.5","111.8","20.9","423.0","91.2","25.2","423.0","91.2","25.2","527.7","109.7","14.9","527.7","109.7","14.9","0.5","34.0","47.8","8.8","68","43.7"
"58","pilar","buenos_aires","buenos_aires/pilar","-34.58090761912106, -59.063197808473454","-34.32110745204678, -58.73253521513541","Pilar,Buenos Aires
","True","0.700112166062","0.624138716216","0.517580050187","0.732205367561","0.66548215151","0.53745968327","True","259.6","690.3","303.1","259.6","690.3","303.1","742.9","1453.1","318.3","742.9","1453.1","318.3","3300.5","3660.5","317","3300.5","3660.5","317","295.7","903.8","61.8","1213.7","3210.9","353.2"
"59","rosario","santa_fe","santa_fe/rosario/funes","-32.968423132208564, -60.85719632244908","-32.87294742714985, -60.76203801219901","Funes ,Rosario,Santa Fe
","False","0.792804012046","0.692810514169","0.520896672797","0.874015748031","0.731193192806","0.568030447193","True","","110.8","43.9","","110.8","43.9","72.8","290.5","56.7","72.8","290.5","56.7","510.7","468.7","45","510.7","468.7","45","85.5","174.5","5.3","104.9","496.7","28.2"
"60","cordoba","cordoba","cordoba/cordoba","-31.52802507229161, -64.32132377801207","-31.30502279479011, -64.0522778175257","Córdoba,Córdoba
","True","","","","","","","False","11804.0","3045.0","328.8","11804.0","3045.0","328.8","15302.0","3321.0","283.2","15302.0","3321.0","283.2","19098.7","3573.3","258.5","19098.7","3573.3","258.5","289.9","2337.3","1101.1","521.2","2162.2","1948.6"
"61","rosario","santa_fe","santa_fe/rosario/sanlorenzo","-32.78213506700115, -60.800520912382034","-32.714109948498496, -60.71889309401766","San Lorenzo ,Rosario,Santa Fe
","False","0.418083637803","0.360118406475","0.300720371869","0.458555774094","0.333381150481","0.263668768851","True","597.6","226.5","43.2","597.6","226.5","43.2","820.0","287.6","24.9","820.0","287.6","24.9","1113","345.6","22.5","1113","345.6","22.5","7.2","163.5","94.5","21.9","239.2","110.3"
"62","capital","formosa","formosa/capital","-26.24346815133488, -58.281912387923306","-26.08802744850786, -58.13146854186789","Formosa,Formosa
","False","0.42314762578","0.37653297536","0.296913186621","0.449700777977","0.433489939256","0.28809519785","True","1749.3","990.1","212.3","1749.3","990.1","212.3","2332.9","1210.3","174.5","2332.9","1210.3","174.5","3633.7","994.6","177.1","3633.7","994.6","177.1","45.7","530.6","189.6","172.4","724.1","501.6"
"63","lomas_de_zamora","buenos_aires","buenos_aires/lomas_de_zamora","-34.82060905706547, -58.504867778861644","-34.69358802096156, -58.33486341414348","lomas_de_zamora,Buenos Aires
","True","0.130124664568","0.110372337885","0.0531283958603","0.16762977413","0.13683249974","0.0549021648626","True","6372.8","246.7","0.9","6372.8","246.7","0.9","6864.2","167.6","0.0","6864.2","167.6","0.0","7684.5","115.3","4.4","7684.5","115.3","4.4","3.2","210.5","197.8","35.5","165.4","576.5"
